"QSI_TOWER","STRUCTURE","X","Y","Z1","Z2","H","LATITUDE","LONGITUDE","STR_GEOTAG","STR_TYPE"
"233","025/174","6507663.27","1804705.4","432.684","531.79","99.11","38.11760561","-122.1876951","W12218769N3811760","Tangent"
"234","025/175","6507428.977","1804263.689","424.964","522.24","97.28","38.11639142","-122.18850622","W12218850N3811639","Tangent"
"235","025/176","6506915.58","1803295.801","474.855","564.47","89.61","38.11373083","-122.19028352","W12219028N3811373","Dead End"
"236","025/177","6506591.021","1802683.09","608.96","695.6","86.64","38.11204656","-122.19140701","W12219140N3811204","Dead End"
"237","025/178","6506474.156","1802147.703","501.008","592.03","91.02","38.11057581","-122.19180923","W12219180N3811057","Dead End"
"238","025/179","6506328.123","1801481.2","414.91","498.56","83.65","38.10874486","-122.19231183","W12219231N3810874","Dead End"
"239","025/180","6506169.576","1800752.429","435.441","523.62","88.18","38.10674287","-122.19285743","W12219285N3810674","Tangent"
"240","026/181","6506057.595","1800239.511","429.656","517.58","87.92","38.10533383","-122.19324278","W12219324N3810533","Tangent"
"241","026/182","6505759.394","1798873.848","294.429","382.51","88.08","38.10158222","-122.19426889","W12219426N3810158","Tangent"
"242","026/183","6505662.591","1798429.691","289.913","379.23","89.32","38.10036208","-122.19460196","W12219460N3810036","Tangent"
"243","026/184","6505362.198","1797054.116","197.007","293.11","96.1","38.09658323","-122.19563547","W12219563N3809658","Tangent"
"244","026/185","6505237.647","1796483.153","223.868","311.22","87.35","38.09501474","-122.19606395","W12219606N3809501","Tangent"
"245","026/186","6505088.547","1795800.002","164.12","265.62","101.5","38.09313804","-122.19657687","W12219657N3809313","Tangent"
"246","027/187","6504816.972","1794555.129","92.244","182.05","89.81","38.08971824","-122.19751103","W12219751N3808971","Tangent"
"247","027/188","6504684.61","1793945.015","111.001","199.8","88.8","38.08804219","-122.19796628","W12219796N3808804","Tangent"
"248","027/189","6504484.081","1793029.091","137.767","225.39","87.62","38.08552603","-122.19865599","W12219865N3808552","Dead End"
"249","027/190","6504612.874","1791849.959","49.223","143.18","93.96","38.08228913","-122.19819962","W12219819N3808228","Tangent"
"250","027/191","6504699.772","1791054.531","29.607","117.13","87.52","38.08010555","-122.19789173","W12219789N3808010","Tangent"
"251","027/192","6504765.21","1790457.683","7.218","95.7","88.48","38.07846711","-122.1976599","W12219765N3807846","Tangent"
"252","027/193","6504830.277","1789861.64","14.914","102.3","87.39","38.07683088","-122.19742939","W12219742N3807683","Tangent"
"253","028/194","6504917.367","1789066.282","14.865","102.0","87.14","38.0746475","-122.19712087","W12219712N3807464","Tangent"
"254","028/195","6505006.703","1788251.73","21.393","110.3","88.91","38.07241143","-122.19680443","W12219680N3807241","Tangent"
"255","028/196","6505082.653","1787555.585","77.848","166.9","89.05","38.0705004","-122.1965354","W12219653N3807050","Tangent"
"256","028/197","6505154.253","1786900.313","98.287","186.58","88.29","38.06870157","-122.19628179","W12219628N3806870","Tangent"
"257","028/198A","6505211.119","1786380.341","110.7","201.57","90.87","38.06727417","-122.19608039","W12219608N3806727","Dead End"
"258","029/198","6505181.442","1786247.598","108.795","165.26","56.47","38.0669095","-122.19618246","W12219618N3806690","Dead End"
"259","005/040","6505131.832","1786132.289","99.429","155.74","56.31","38.06659259","-122.1963539","W12219635N3806659","Dead End"
"260","005/040A","6505203.154","1786145.604","90.264","132.02","41.76","38.06662958","-122.19610629","W12219610N3806662","Dead End"
"261","005/040B","6505077.378","1786199.322","120.545","157.12","36.58","38.06677633","-122.19654353","W12219654N3806677","Dead End"
"262","A034/241B","6504955.649","1786251.582","145.983","202.1","56.12","38.0669191","-122.19696671","W12219696N3806691","Dead End"
"263","A034/241","6504266.928","1786546.746","198.224","283.07","84.85","38.06772544","-122.19936099","W12219936N3806772","Tangent"
"264","A034/240","6503473.667","1786800.256","176.698","262.07","85.37","38.06841672","-122.2021181","W12220211N3806841","Tangent"
"265","A034/239","6503012.317","1786947.72","153.351","239.6","86.25","38.0688188","-122.20372162","W12220372N3806881","Tangent"
"266","A034/238","6501501.135","1787430.691","82.937","210.43","127.49","38.07013552","-122.20897418","W12220897N3807013","Tangent"
"267","A034/237","6501053.827","1787573.596","142.309","226.34","84.03","38.07052508","-122.21052897","W12221052N3807052","Tangent"
"268","A033/236","6499529.0","1788184.03","169.123","269.49","100.37","38.07219139","-122.21583023","W12221583N3807219","Dead End"
"269","A033/235","6498852.868","1789056.451","236.666","322.51","85.84","38.07458245","-122.21818598","W12221818N3807458","Dead End"
"270","A033/234","6498165.526","1789943.01","199.392","276.02","76.63","38.07701222","-122.22058096","W12222058N3807701","Dead End"
"271","A033/233","6497859.646","1789986.811","200.171","259.84","59.67","38.07713044","-122.22164384","W12222164N3807713","Tangent"
"272","033/233","6497290.973","1790075.394","282.913","379.3","96.39","38.07736985","-122.22361997","W12222361N3807736","Tangent"
"273","033/234","6496826.431","1790145.88","304.614","389.53","84.92","38.07756024","-122.22523423","W12222523N3807756","Tangent"
"274","033/235","6495946.184","1790279.148","300.831","401.48","100.65","38.07792014","-122.22829308","W12222829N3807792","Tangent"
"275","033/236","6494842.44","1790480.271","106.292","188.68","82.39","38.07846471","-122.23212892","W12223212N3807846","Tangent"
"276","034/237","6493601.899","1790330.153","114.559","225.16","110.6","38.07804373","-122.23643685","W12223643N3807804","Dead End"
"277","034/238","6492731.249","1790612.327","116.295","234.38","118.09","38.07881226","-122.23946379","W12223946N3807881","Dead End"
"278","034/239","6492089.277","1791184.764","140.137","255.9","115.76","38.0803794","-122.24169912","W12224169N3808037","Dead End"
"279","034/240","6491246.254","1792361.568","166.841","250.52","83.68","38.08360448","-122.24463862","W12224463N3808360","Tangent"
"280","034/241","6491040.676","1792680.073","147.152","232.48","85.33","38.08447752","-122.24535577","W12224535N3808447","Dead End"
"281","034/242","6490200.837","1792704.389","4.066","342.26","338.19","38.08453802","-122.2482736","W12224827N3808453","Tangent"
"282","034/243","6488429.551","1792911.991","3.945","292.52","288.58","38.0850946","-122.25442907","W12225442N3808509","Tangent"
"283","034/244","6487677.934","1792978.776","10.545","67.81","57.27","38.08527218","-122.25704086","W12225704N3808527","Dead End"
"284","MARE_ISLAND_SUB","6487623.8","1792992.48","12.104","49.99","37.89","38.08530938","-122.25722906","W12225722N3808530","Dead End"
